"","GSM944864.30","GSM944836.26","GSM944857.29","GSM944843.27","GSM944840.7","GSM944833.6","GSM944861.10","GSM944854.9","GSM944835.21","GSM944842.22","GSM944856.24","GSM944849.23","GSM944852.4","GSM944859.5","GSM944831.1","GSM944845.3","GSM944844.32","GSM944858.34","GSM944851.33","GSM944865.35","GSM944841.12","GSM944862.15","GSM944848.13","GSM944834.11"
"1417675_a_at",6.5139608457744,6.3491400234837,6.5071424338144,5.99106414061755,5.93233865113614,6.46005802238188,6.79976877773446,6.17688164116788,6.42423587838197,5.95989445802065,6.63497730718712,6.34802267294362,6.42654624959612,6.48341469223131,6.56996035677879,6.57059704866618,5.95464033796138,6.32963475403098,5.9926784980387,6.45007390360039,6.44034223717294,6.46501967672221,6.04175214263554,6.32917725061518
"1436530_at",6.56832365935754,7.3857546097184,8.51710977253849,11.0779218123116,11.7689610225295,7.87179246889219,9.0510616390468,13.7596417964025,12.9096461685946,10.9872106849146,8.13157636553414,8.89528496037281,11.5977359619927,12.0344227868577,8.19678743488273,7.188301300748,12.33221510875,12.0599109359393,11.3968850379365,7.70144863494055,7.37677764691796,8.1438668006644,12.0396135304113,11.7073836977579
"1419162_s_at",4.80979985761143,5.21708205620781,5.51797761352414,5.37282478009138,5.38279565299313,5.07629264373331,5.28312505859875,5.65147407673596,5.92885122567508,5.96846684773067,4.98241553588137,5.73438964252833,5.86914100287254,5.6023070592788,5.01706378134632,5.51611792546211,6.60387331184537,6.14851978376596,5.58884667673691,5.28030711316255,5.46551829587065,5.14151131900756,6.10002491704808,5.70534919762865
"1457728_at",7.96762762575223,7.93892594989592,7.76859466468796,5.25667192454569,5.54938150981759,7.73973780876976,8.68695424395889,5.41888274181925,5.31208581736831,5.71688837066737,8.06737144733903,7.59279220574083,5.31225958605575,6.27103424307608,7.45545654715443,8.02171695368809,4.88752807480316,5.3934956983353,6.35249802583378,8.19188715980152,7.68376702451266,7.7496850677325,5.7920254318525,5.24148043090671
"1434273_at",7.43059756093166,7.84666259891203,7.81102678444399,7.7550716990785,8.11431065110017,7.74973868327072,7.53873864427504,8.45453169059105,7.95315241262656,8.46664166449012,7.42819260519693,7.78303920975303,8.5115385566443,8.10237136761751,7.59702832128723,7.86668053776206,8.80977252297023,8.18171135444786,7.9211216382576,7.40589028827796,7.53237426509556,7.18468549893847,8.37961930066366,7.9660058267478
"1446929_at",6.9501362536611,6.89755364365592,6.7511587465795,6.47550186788877,5.9547647485878,6.90799497666523,7.71095626053756,5.70799468447012,5.8058589068675,5.81940346000578,7.46139197807708,6.908690113082,5.66709698816506,5.98753765369763,7.27446898630597,7.23220046011425,5.2319024679017,5.94765473469955,6.53645531202081,7.65514455099689,7.29942673636861,7.3834176693216,5.44136825671905,5.7316839770229
"1426113_x_at",11.5486072036702,11.3360949213637,11.6152748497034,10.7690857944067,9.96393164332732,11.4561156642318,11.7902348030877,9.72710058163298,9.96262447712411,9.60762533403435,11.4073595526864,11.4458889511945,9.24564790649826,9.29717422755957,11.5667125155004,11.7579317479925,9.05404500066623,9.24585940370325,10.6295524146446,11.5825618616855,11.5449943537551,11.2932336165948,9.42829038363592,9.44867838450071
"1436060_at",7.24494058644148,7.58284252149246,7.51492538987564,7.35988279823032,7.9200226232611,7.24637352531731,7.36620515918675,7.81734946953351,7.79215111850722,8.22787693512804,7.21097064815056,7.50463530597397,7.81975812674377,7.77612151797712,7.41945603948689,7.45088549327073,8.60207383124927,7.88660280136651,7.89297999143864,7.49280803742594,7.39703002008273,7.31873657668732,7.99809186628038,7.80863371973998
"1436040_at",7.30633098524883,7.03837770705438,7.16325155906099,6.92890006157683,5.89989235920001,7.17177389827271,7.77058133825525,6.21732535808877,6.15878998767221,5.84708366876879,7.20928707261219,7.51366086324374,5.87422879192247,6.04541460992816,7.40265340349448,7.37300965804973,6.4039793764456,5.89929550817104,6.65227366711903,7.56266630800353,7.2316889631836,7.34704293928822,5.93154438616915,6.18132719592936
"1431220_at",6.42182661062352,7.12935089017215,7.08754009511168,7.04739455325431,7.06816950465779,6.61452589022661,6.36885509293469,7.47157240193302,6.81813468944612,7.67844313154284,6.39614907749452,6.99307871470697,7.29832609860209,7.15311598361288,6.82145399004317,7.14056026755943,8.6659826198702,6.91831673226751,7.66386009289372,6.53169419988291,6.48684683873103,6.23018596327447,6.9852028674167,6.79972575301895
"1456765_at",7.32968427569657,7.57285385515995,7.3882685168121,8.35051568311502,8.38173537038238,7.55289323421673,7.87221869043417,9.7082858838044,8.7578275484189,8.31547039699773,7.68415185522235,7.64256322790374,8.60283226490603,8.66230259057503,7.86541041282734,7.4975876275297,8.31476077070804,8.71891078914663,8.33108221084678,7.62957610559567,7.61618687724927,7.62257049386535,8.44379382577352,8.61535357451818
"1428562_at",6.5454151103413,7.03864189599274,6.98325081596467,9.57262493688245,7.62279185247937,7.18185628645679,6.99146133813255,8.7047566923857,8.27556563723497,7.84652012787023,7.2525794783061,7.48354045705926,7.90842876362777,8.10714617940048,7.51982965528333,7.24638912702017,9.0947239167372,7.80086689199101,8.21355861229322,7.19255468355781,7.08041682790958,7.06599841230964,7.95423846454785,7.95605399369596
"1426987_at",9.28190336537549,9.88783231834066,9.86834325111828,9.09277580988361,9.88638886621343,9.47427210636364,9.3825445143341,10.5843636057546,9.76556935846775,10.2135220718661,9.05927401818599,9.63594173096335,9.73246867399446,9.82179970377793,9.48262054495371,9.84267677139351,10.721433799958,9.96250698101074,10.1609867081198,9.40450793659255,9.49278590044985,9.06053405028266,9.97951668084851,9.69024128527127
"1440451_at",4.81046679370796,5.35287306925692,5.21699137283037,5.86003121360652,5.56131077127045,5.17536309466512,5.03966426436283,6.74696624247996,6.5243559285285,5.78768942650797,5.21006883776728,5.35287306925692,6.15711077911134,6.21528774386486,5.06447381332817,4.97644462451548,6.29943725044956,5.84462781642498,5.78048045904963,5.27830572297014,4.97963949595408,4.98837415683931,6.00102150659076,5.726272607741
"1444524_at",9.23696945038749,9.88457902108131,9.63968606433444,10.2674240840789,9.98069583998724,9.45754749091762,9.05464556644202,10.1464160609933,9.93580257934703,10.1925444068957,9.09686356567008,9.63710293695216,10.187534869775,9.78639984152215,9.6055290663033,9.83436825995654,10.5548431906204,10.002728641183,9.7943353298568,9.2088138946164,9.35372389610659,9.04944576004904,10.302410455438,9.80105195433242
"1429560_at",5.50619764563257,5.66345226757829,5.91263361260657,5.74800866458197,5.28209661446087,5.42048244997344,5.90326407779423,5.37327555289182,4.93641100082822,5.41453665735439,5.70704574680103,5.81007848122322,5.26095346892078,5.23572811195687,5.70206333003184,6.04073336835682,5.43313362107337,5.17881792588855,5.39766317567581,5.7793003757157,5.77904530066956,5.73553024894814,5.24324888662885,5.22932181271656
"1434068_s_at",11.7103012835588,11.0428419693218,11.2198388915444,10.6706842126676,12.1346550074162,11.6905310431314,10.9025423030839,10.5645310805941,11.8027768806065,11.7701560326372,11.8704229873085,11.1017442471255,12.0663302279848,11.7903728720437,11.8487488620825,11.261662620225,10.8034582807616,11.9601819183414,11.4079352625884,11.7869196216142,11.9236687553596,11.7995136540411,11.7970030640162,12.1973394529531
"1439592_at",5.80608854407602,5.79111195681134,5.95113583595778,5.86517279517543,6.43189750234229,5.55048866684422,5.59574380866033,6.1423797490798,6.23124645561254,6.64968554921487,5.62600211591885,6.14162520013942,6.15036827193401,6.23018596327447,5.95883762342561,6.21322335443265,6.60330455233423,6.10891009541853,5.60890806069604,5.76152310589907,5.72080275994127,5.67628081851714,6.23284816493144,6.05330074530249
"1416106_at",7.40575413511802,7.24198902335839,7.16620070370994,7.31738592344558,6.56796925566354,7.14835952952401,7.80120212805747,6.47909189222865,6.59245145205873,6.04501607325201,7.29699117834154,7.56030204744386,6.29164519465765,6.676368565555,7.36822261865194,7.49592968936157,6.80984644141484,6.48502726624405,6.45485116133747,7.50550461457527,7.39146539089135,7.28158548417107,6.48229047922637,6.54726123927472
